full_name,position,posteam,week,rush_attempt,rec_attempt,receptions,rush_yards_gained,rec_yards_gained,rush_touchdown,rec_touchdown,total_fantasy_points
Derrick Henry,RB,BAL,17.0,36.0,0.0,0.0,216.0,0.0,4.0,0.0,45.6
Bijan Robinson,RB,ATL,17.0,22.0,8.0,5.0,195.0,34.0,1.0,1.0,39.9
Kenneth Walker III,RB,SEA,20.0,19.0,3.0,3.0,116.0,29.0,3.0,0.0,35.5
Rhamondre Stevenson,RB,NE,18.0,7.0,2.0,2.0,131.0,22.0,2.0,1.0,35.3
Christian McCaffrey,RB,SF,19.0,15.0,8.0,6.0,48.0,66.0,0.0,2.0,29.400000000000002
Chase Brown,RB,CIN,17.0,22.0,3.0,3.0,101.0,40.0,2.0,0.0,29.1
Christian McCaffrey,RB,SF,17.0,23.0,6.0,4.0,140.0,41.0,1.0,0.0,28.1
Tyrone Tracy Jr.,RB,NYG,18.0,18.0,9.0,8.0,103.0,56.0,0.0,1.0,27.900000000000002
Kyren Williams,RB,LA,20.0,21.0,5.0,4.0,87.0,30.0,2.0,0.0,27.7
Rhamondre Stevenson,RB,NE,17.0,8.0,5.0,5.0,47.0,55.0,1.0,1.0,27.2
Zach Charbonnet,RB,SEA,17.0,18.0,2.0,2.0,110.0,12.0,2.0,0.0,26.2
Ray Davis,RB,BUF,18.0,21.0,2.0,2.0,151.0,23.0,0.0,1.0,25.4
Travis Etienne,RB,JAX,19.0,10.0,5.0,5.0,67.0,49.0,0.0,1.0,22.6
Jacory Croskey-Merritt,RB,WAS,17.0,11.0,0.0,0.0,105.0,0.0,2.0,0.0,22.5
Kenneth Gainwell,RB,PIT,18.0,5.0,9.0,8.0,10.0,64.0,1.0,0.0,21.4
Kenneth Walker III,RB,SEA,21.0,19.0,4.0,4.0,62.0,49.0,1.0,0.0,21.1
D'Andre Swift,RB,CHI,17.0,9.0,3.0,2.0,54.0,16.0,2.0,0.0,21.0
Breece Hall,RB,NYJ,17.0,14.0,3.0,2.0,111.0,18.0,1.0,0.0,20.900000000000002
Jahmyr Gibbs,RB,DET,18.0,19.0,5.0,3.0,80.0,33.0,0.0,1.0,20.3
Omarion Hampton,RB,LAC,17.0,14.0,8.0,8.0,29.0,31.0,1.0,0.0,20.0
Chuba Hubbard,RB,CAR,19.0,13.0,4.0,2.0,46.0,13.0,2.0,0.0,19.900000000000002
Ty Johnson,RB,BUF,18.0,13.0,2.0,2.0,36.0,20.0,1.0,1.0,19.6
Zach Charbonnet,RB,SEA,18.0,17.0,4.0,3.0,74.0,23.0,1.0,0.0,18.7
RJ Harvey,RB,DEN,17.0,14.0,6.0,5.0,43.0,33.0,0.0,1.0,18.6
Chase Brown,RB,CIN,18.0,13.0,6.0,4.0,72.0,12.0,0.0,1.0,18.4
Kenneth Walker III,RB,SEA,22.0,27.0,4.0,2.0,135.0,26.0,0.0,0.0,18.1
Tank Bigsby,RB,PHI,18.0,16.0,1.0,1.0,75.0,31.0,1.0,0.0,17.6
Jonathan Taylor,RB,IND,17.0,21.0,6.0,3.0,70.0,14.0,1.0,0.0,17.4
Rhamondre Stevenson,RB,NE,22.0,7.0,5.0,5.0,23.0,40.0,0.0,1.0,17.3
TreVeyon Henderson,RB,NE,18.0,13.0,0.0,0.0,53.0,0.0,2.0,0.0,17.3
