mfl_id,sportradar_id,fantasypros_id,gsis_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,pfr_id,cfbref_id,rotowire_id,rotoworld_id,ktc_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,position,team,birthdate,age,draft_year,draft_round,draft_pick,draft_ovr,twitter_username,height,weight,college,db_season
17462,b1ded115-092a-4199-9a55-cab9f4b5bb18,,MEN516487,,13269,,4837248,,,28916321,MendFe00,fernando-mendoza-1,19281,,1924,42623,0,26740,,Fernando Mendoza,fernando mendoza,QB,LVR,2003-10-01,22.8,2026,1,1,1,,77,225,Indiana,2026
17463,2e62e603-363a-425f-8c57-0a1600476c85,,SIM639376,,13275,,4685522,,,28878532,SimpTy00,ty-simpson-1,19275,,1925,42635,0,26739,,Ty Simpson,ty simpson,QB,LAR,2002-12-21,23.6,2026,1,13,13,,74,203,Alabama,2026
17464,,,,,,,,,,,,,,,,,0,,,Trinidad Chambliss,trinidad chambliss,XX,FA,,,2026,,,,,,,Mississippi,2026
17465,9fc8bed4-d9db-46a2-a75f-737881d23aa7,,NUS440041,,13404,,4567747,,,26701706,NussGa00,garrett-nussmeier-1,19283,,1927,42871,0,25871,,Garrett Nussmeier,garrett nussmeier,QB,KCC,2002-02-07,24.4,2026,7,33,249,,73,205,LSU,2026
17466,,,BEC122142,,,,4430841,,,3163129,BeckCa01,carson-beck-1,19287,,1928,42687,0,,,Carson Beck,carson beck,QB,ARI,,,2026,3,1,65,,,233,Miami,2026
17467,3a62187b-d6b6-43fb-82c9-efabd8a6c0e0,,KLU066027,,13303,,4685413,,,28874636,KlubCa00,cade-klubnik-1,19284,,1929,42732,0,28048,,Cade Klubnik,cade klubnik,QB,NYJ,2003-10-10,22.8,2026,4,10,110,,74,207,Clemson,2026
17468,0667d256-9f37-4b21-b1c9-fb105aaf97a2,,ALL015451,,13289,,4714771,,,28876938,AllaDr00,drew-allar-1,19286,,1930,42698,0,28045,,Drew Allar,drew allar,QB,PIT,2004-03-08,22.4,2026,3,12,76,,77,228,Penn State,2026
17469,3d900120-419b-11f1-ab8f-75a26d456118,,DAN558971,,13425,,4596472,,,3166688,DaniJa03,,19292,,,42919,0,25877,,Jalon Daniels,jalon daniels,QB,TBB,2002-10-29,23.7,2026,,,,,72,220,Kansas,2026
17470,67aca910-4194-11f1-b19f-93eb810f1d1e,,ALT577722,,13314,,4597679,,,,AltmLu00,,19295,,,42899,0,26934,,Luke Altmyer,luke altmyer,QB,DET,2002-10-22,23.7,2026,,,,,74,215,Illinois,2026
17471,125e9b80-426b-11f1-9d61-c7109dbf1b70,,PAV369898,,13427,,5084180,,,28873851,PaviDi00,,19290,,,43001,0,26856,,Diego Pavia,diego pavia,QB,BAL,2002-02-16,24.4,2026,,,,,72,207,Vanderbilt,2026
