player,pos,team,ecr,player_owned_avg,page_type
Josh Allen,QB,BUF,33.2,99.3,best-overall
Lamar Jackson,QB,BAL,45.6,98.9,best-overall
Drake Maye,QB,NE,53.4,98.7,best-overall
Joe Burrow,QB,CIN,56.6,97.6,best-overall
Jayden Daniels,QB,WAS,59.8,97.7,best-overall
Jalen Hurts,QB,PHI,66.6,97.4,best-overall
Caleb Williams,QB,CHI,71.6,93.8,best-overall
Justin Herbert,QB,LAC,75.6,93.1,best-overall
Dak Prescott,QB,DAL,79.2,93.7,best-overall
Jaxson Dart,QB,NYG,80.6,95.2,best-overall
Brock Purdy,QB,SF,83.8,91.5,best-overall
Trevor Lawrence,QB,JAC,86.2,91.8,best-overall
Patrick Mahomes II,QB,KC,93.8,92.5,best-overall
Bo Nix,QB,DEN,94.6,90.4,best-overall
Jared Goff,QB,DET,103.8,76.4,best-overall
Kyler Murray,QB,MIN,108.6,75.2,best-overall
Matthew Stafford,QB,LAR,108.8,93.1,best-overall
Malik Willis,QB,MIA,110.6,51.0,best-overall
Jordan Love,QB,GB,112.4,59.9,best-overall
Tyler Shough,QB,NO,115.0,61.6,best-overall
