player,position,team,week,offense_snaps,offense_pct
Jerry Jeudy,WR,CLE,1,62.0,0.82
Jerry Jeudy,WR,CLE,2,57.0,0.79
Jerry Jeudy,WR,CLE,3,60.0,0.9
Jerry Jeudy,WR,CLE,4,51.0,0.86
Jerry Jeudy,WR,CLE,5,47.0,0.76
Jerry Jeudy,WR,CLE,6,52.0,0.91
Jerry Jeudy,WR,CLE,7,80.0,0.95
Jerry Jeudy,WR,CLE,8,67.0,0.97
Jerry Jeudy,WR,CLE,9,79.0,1.0
Jerry Jeudy,WR,CLE,11,62.0,0.85
Jerry Jeudy,WR,CLE,12,48.0,0.83
Jerry Jeudy,WR,CLE,13,78.0,0.91
Jerry Jeudy,WR,CLE,14,66.0,0.92
Jerry Jeudy,WR,CLE,15,59.0,0.95
Jerry Jeudy,WR,CLE,16,60.0,0.91
Jerry Jeudy,WR,CLE,17,77.0,0.97
Jerry Jeudy,WR,CLE,18,56.0,0.95
